Data;descricao;Categoria;Valor
12/05/2017;101 GOURMET;Pagamentos;R$ 9,00
07/05/2017;341 BURGER;Pagamentos;R$ 12,00
23/05/2017;341 BURGER;Pagamentos;R$ 16,00
